"en","es","context"
"Fatigue","Fatiga",""
"Feel sick to stomach","Náuseas",""
"Feeling tired","Sensación de cansancio",""
"Feelings","Sentimientos",""
"Finish the tutorial","Finalizar el tutorial",""
"Finish these steps to log out:","Completa estos pasos para cerrar sesión:",""
"Finish Tutorial","Finalizar tutorial",""
"Foot pain","Dolor de pie",""
"Forgetting things","Olvidar cosas",""
"Forgot password?","¿Olvidaste tu contraseña?",""
"Get Started →","Empezar →",""
"Getting Ready","Arreglarse",""
"Go To Skin","Ir a Piel",""
"Going too often","Ir al baño con mucha frecuencia",""
"Got it","Entendido",""
"Got it!","¡Entendido!",""
"Great work — you finished session 1. Use the form below to log back in and pick up where you left off.","¡Buen trabajo! Terminaste la sesión 1. Usa el formulario de abajo para iniciar sesión y continuar donde lo dejaste.",""
"Hair / Scalp","Cabello / Cuero cabelludo",""
"Hair loss","Pérdida del cabello",""
"Hand pain","Dolor de mano",""
"Happens a Lot","Pasa con frecuencia",""
"Head","Cabeza",""
"Headache","Dolor de cabeza",""
"Here is a summary of number of times you reported the following symptoms in the last 30 days:","Este es un resumen de cuántas veces reportaste los siguientes síntomas en los últimos 30 días:",""
"Hide password","Ocultar contraseña",""
"How to complete a session","Cómo completar una sesión",""
"How to delete a problem","Cómo eliminar un problema",""
"How to edit a problem","Cómo editar un problema",""
"How to pick a Body Part","Cómo elegir una parte del cuerpo",""
"How to pick a Feeling","Cómo elegir un sentimiento",""
"How to pick an Activity","Cómo elegir una actividad",""
"How to use Past Problems","Cómo usar Problemas anteriores",""
"How to use Search","Cómo usar Buscar",""
"Itching","Picazón",""
"Itchy ear","Picazón en el oído",""
"Itchy eye","Picazón en los ojos",""
"Itchy red bumps on skin","Bultos rojos con picazón en la piel",""
"Itchy scalp","Picazón en el cuero cabelludo",""
"Last reported","Reportado por última vez",""
"Last reported:","Reportado por última vez:",""
"Language","Idioma",""
"Left","Izquierda",""
"Left Arm","Brazo izquierdo",""
"Left Ear","Oído izquierdo",""
"Left Eye","Ojo izquierdo",""
"Left Foot","Pie izquierdo",""
"Left Hand","Mano izquierda",""
"Left Leg","Pierna izquierda",""
"Leg pain","Dolor de pierna",""
"Let's check in on how you've been.","Veamos cómo te ha ido.",""
"Limping","Cojera",""
"Log out","Cerrar sesión",""
"Logged in as:","Sesión iniciada como:",""
"Logout","Cerrar sesión",""
"Loss of appetite","Pérdida de apetito",""
"Most of the time","La mayor parte del tiempo",""
"Mouth","Boca",""
"Mouth sores","Llagas en la boca",""
"My child is having:","Mi hijo/a tiene:",""
"Neck / Throat","Cuello / Garganta",""
"Need help with a step? Click the <strong>?</strong> next to it to watch a quick demo.","¿Necesitas ayuda con un paso? Haz clic en el <strong>?</strong> junto a él para ver una demostración rápida.",""
"Never","Nunca",""
"Next","Siguiente",""
"No frequent problems yet.","Aún no hay problemas frecuentes.",""
"No new problems in the last 30 days.","Sin nuevos problemas en los últimos 30 días.",""
"Nose","Nariz",""
"Nosebleed","Sangrado de nariz",""
"Not at all","Para nada",""
"Not being able to sit still","No poder quedarse quieto",""
"Numbness or tingly feeling","Entumecimiento u hormigueo",""
"Numbness or tingly feeling in hands or feet","Entumecimiento u hormigueo en manos o pies",""
"or","o",""
"OR","O",""
"Pain","Dolor",""
"Pain when going","Dolor al ir al baño",""
"Password","Contraseña",""
"Past Problems","Problemas anteriores",""
"Past problems will show up here after you finish a session.","Los problemas anteriores aparecerán aquí después de terminar una sesión.",""
"Phone: 713-500-2233","Teléfono: 713-500-2233",""
"Pick a Body Parts symptom","Elige un síntoma de Partes del cuerpo",""
"Pick a Feelings symptom","Elige un síntoma de Sentimientos",""
"Pick an Activities symptom","Elige un síntoma de Actividades",""
"Pick the activities where you are having problems","Elige las actividades en las que tienes problemas",""
"Pick the body part where you are having problems","Elige la parte del cuerpo donde tienes problemas",""
"Pick the feelings where you are having problems","Elige los sentimientos en los que tienes problemas",""
"Pimples","Granos",""
"Please remember, the problems reported in SPOTS are not automatically shared with your healthcare team. You must continue to report your/your child's problems to your healthcare team as you normally would.","Recuerda que los problemas reportados en SPOTS no se comparten automáticamente con tu equipo médico. Debes seguir reportando los problemas tuyos o de tu hijo/a a tu equipo médico como lo haces normalmente.",""
"Please select from the list of symptoms :","Selecciona de la lista de síntomas:",""
"Please sign back in to start your second session.","Inicia sesión de nuevo para empezar tu segunda sesión.",""
"Practice Guide Progress","Progreso de la guía de práctica",""
"Practice Guide Tips","Consejos de la guía de práctica",""
"Privacy Policy","Política de privacidad",""
"Problem","Problema",""
"Problem Station","Estación de problemas",""
"Problems paying attention (focusing on TV, reading, or school work)","Problemas para prestar atención (concentrarse en la TV, leer o tareas escolares)",""
"Problems remembering things","Problemas para recordar cosas",""
"Project Contact","Contacto del proyecto",""
"Quick Links","Enlaces rápidos",""
"Quite a bit","Bastante",""
"Rash","Sarpullido",""
"Reading","Leer",""
"Remove","Eliminar",""
"Report","Reporte",""
"Report (not included in this tutorial build)","Reporte (no incluido en esta versión del tutorial)",""
"Report a new problem","Reportar un nuevo problema",""
"Reports are part of the full SPOTS site. This tutorial build focuses on the symptom-reporting flow and does not include the reporting view.","Los reportes son parte del sitio completo de SPOTS. Esta versión del tutorial se centra en el flujo de reporte de síntomas y no incluye la vista de reportes.",""
"Reported recently","Reportado recientemente",""
"Right","Derecha",""
"Right Arm","Brazo derecho",""
"Right Ear","Oído derecho",""
"Right Eye","Ojo derecho",""
"Right Foot","Pie derecho",""
"Right Hand","Mano derecha",""
"Right Leg","Pierna derecha",""
"Ringing in the ear","Zumbido en el oído",""
"Running","Correr",""
"Runny nose","Nariz que moquea",""
"Runny or watery poop","Diarrea",""
"Sad or unhappy feelings","Sentimientos de tristeza o infelicidad",""
"Save","Guardar",""
"Screen Time","Tiempo de pantalla",""
"Search","Buscar",""
"Search symptoms","Buscar síntomas",""
"Session 1 complete!","¡Sesión 1 completada!",""
"Settings","Configuración",""
"Settings (not included in this tutorial build)","Configuración (no incluida en esta versión del tutorial)",""
"Settings are part of the full SPOTS site. This tutorial build focuses on the symptom-reporting flow and does not include the settings view.","La configuración es parte del sitio completo de SPOTS. Esta versión del tutorial se centra en el flujo de reporte de síntomas y no incluye la vista de configuración.",""
"Shortness of breath","Falta de aire",""
"Show Back","Mostrar espalda",""
"Show Front","Mostrar frente",""
"Show me how","Muéstrame cómo",""
"Show password","Mostrar contraseña",""
"Sign In","Iniciar sesión",""
"Sign in","Iniciar sesión",""
"Sign in with Google","Iniciar sesión con Google",""
"Sign up","Crear cuenta",""
"Site Policies & Required Links","Políticas del sitio y enlaces requeridos",""
"Skin","Piel",""
"Skip to the end of the tutorial","Saltar al final del tutorial",""
"Skip to the next tutorial session","Saltar a la siguiente sesión del tutorial",""
"Sleep problems","Problemas de sueño",""
"Sleeping","Dormir",""
"Sneezing","Estornudos",""
"Sometimes","A veces",""
"Somewhat","Algo",""
"Sore throat","Dolor de garganta",""
"Sore throat when talking","Dolor de garganta al hablar",""
"Sores","Llagas",""
"Sores or bumps","Llagas o bultos",""
"SPOTS (Smart Pediatric Oncology Tracker of Symptoms) helps children and teens with cancer track how they're feeling throughout treatment — and share that information with their care team. This is a guided tutorial; no account is required.","SPOTS (Smart Pediatric Oncology Tracker of Symptoms) ayuda a los niños y adolescentes con cáncer a llevar un registro de cómo se sienten durante el tratamiento y a compartir esa información con su equipo médico. Este es un tutorial guiado; no se requiere cuenta.",""
"Status:","Estado:",""
"Stiff neck","Cuello rígido",""
"Stiffness","Rigidez",""
"Stomach","Estómago",""
"Stomach pain","Dolor de estómago",""
"Stuffy nose","Nariz tapada",""
"Swollen glands","Glándulas inflamadas",""
"Smart Pediatric Oncology Tracker of Symptoms","Seguimiento de Síntomas de Oncología Pediátrica",""
"Talking","Hablar",""
"Tell us about the problems you are having right now.","Cuéntanos sobre los problemas que tienes ahora.",""
"Tell us how you have been feeling. Tap things on your body, activities, or feelings that have been bothering you. There are no right or wrong answers.","Cuéntanos cómo te has sentido. Toca cosas en tu cuerpo, actividades o sentimientos que te hayan molestado. No hay respuestas correctas o incorrectas.",""
"Tell us the problems your child is still having:","Cuéntanos los problemas que tu hijo/a sigue teniendo:",""
"Thanks for trying it out! You now know how to report body-part problems, activities, feelings, and how to revisit past problems on a return visit.","¡Gracias por probarlo! Ahora sabes cómo reportar problemas de partes del cuerpo, actividades, sentimientos y cómo revisar problemas anteriores en una visita posterior.",""
"the SPOTS tutorial.","el tutorial de SPOTS.",""
"There are no symptoms reported. Use the other tools to tell us about your problems, then come back here next time.","No hay síntomas reportados. Usa las otras herramientas para contarnos sobre tus problemas y vuelve aquí la próxima vez.",""
"These are problems your child has reported before. Tap any one to add it to today’s session.","Estos son problemas que tu hijo/a ha reportado antes. Toca cualquiera para agregarlo a la sesión de hoy.",""
"Think about hurting yourself","Pensar en hacerse daño",""
"Thinking","Pensar",""
"Toggle theme","Cambiar tema",""
"Toileting","Ir al baño",""
"Tooth pain","Dolor de dientes",""
"Trouble brushing hair or teeth","Dificultad para cepillarse el cabello o los dientes",""
"Trouble concentrating","Dificultad para concentrarse",""
"Trouble finding words","Dificultad para encontrar palabras",""
"Trouble focusing","Dificultad para concentrarse",""
"Trouble getting dressed","Dificultad para vestirse",""
"Trouble gripping","Dificultad para agarrar",""
"Trouble hearing","Dificultad para oír",""
"Trouble keeping balance","Dificultad para mantener el equilibrio",""
"Trouble looking at screens","Dificultad para mirar pantallas",""
"Trouble swallowing","Dificultad para tragar",""
"Trouble with bathing","Dificultad para bañarse",""
"Tummy hurts after eating","Dolor de barriga después de comer",""
"Tutorial complete","Tutorial completado",""
"Use Search","Usa Buscar",""
"User","Usuario",""
"Username or Email","Usuario o correo",""
"Username or email","Usuario o correo",""
"UTHealth Houston Cizik School of Nursing","Escuela de Enfermería Cizik de UTHealth Houston",""
"Very bad","Muy mal",""
"Very much","Muchísimo",""
"View All","Ver todo",""
"View Full Report →","Ver reporte completo →",""
"View Past Problems","Ver Problemas anteriores",""
"Voice is hoarse","Voz ronca",""
"Vomiting","Vómitos",""
"Walking","Caminar",""
"Walkthrough","Tutorial",""
"Walkthrough coming soon.","Tutorial próximamente.",""
"Watch the example below","Mira el ejemplo a continuación",""
"Watery eye","Ojos llorosos",""
"We've kept the problems you reported last time. Take a look at your Past Problems, add anything new that's bothering you, and review when you're ready.","Guardamos los problemas que reportaste la última vez. Revisa tus Problemas anteriores, agrega lo nuevo que te moleste y revisa cuando estés listo/a.",""
"Weakness","Debilidad",""
"Welcome back to","Bienvenido de nuevo a",""
"Welcome to","Bienvenido a",""
"Welcome to SPOTS","Bienvenido a SPOTS",""
"What's New","Lo nuevo",""
"Worried","Preocupado",""
"Worried or nervous feeling","Sensación de preocupación o nerviosismo",""
"Worried or nervous feelings","Sentimientos de preocupación o nerviosismo",""
"You have not reported any problems yet.","Aún no has reportado ningún problema.",""
"You've completed","Has completado",""
"Your <strong>Practice Guide Progress</strong> is in the top-right corner. Click it anytime to view your steps.","Tu <strong>Progreso de la guía de práctica</strong> está en la esquina superior derecha. Haz clic cuando quieras para ver tus pasos.",""
"← All Body Parts","← Todas las partes del cuerpo",""
